emp_id,cert_id
E0002,C003
E0004,C001
E0007,C004
E0011,C001
E0011,C003
E0012,C003
E0012,C004
E0015,C001
E0015,C005
E0016,C003
E0016,C004
E0017,C001
E0018,C002
E0018,C005
E0021,C004
E0021,C002
E0023,C002
E0023,C005
E0025,C003
E0025,C001
E0026,C002
E0026,C004
E0027,C004
E0030,C005
E0030,C003
E0031,C002
E0031,C003
E0033,C001
E0036,C005
E0038,C002
E0038,C003
E0039,C003
E0039,C004
E0040,C001
E0040,C004
E0043,C005
E0044,C002
E0044,C003
E0045,C004
E0045,C001
E0048,C004
E0048,C005
E0050,C003
E0051,C001
E0051,C002
E0052,C001
E0053,C005
E0054,C003
E0055,C003
E0055,C005
E0056,C003
E0056,C002
E0057,C003
E0057,C002
E0058,C003
E0058,C001
E0059,C003
E0060,C001
E0061,C005
E0061,C004
E0062,C003
E0062,C005
E0063,C002
E0063,C001
E0064,C002
E0066,C005
E0066,C003
E0068,C005
E0068,C002
E0069,C002
E0070,C003
E0071,C005
E0072,C003
E0072,C005
E0073,C005
E0073,C002
E0074,C001
E0074,C005
E0075,C005
E0075,C004
E0077,C001
E0078,C003
E0082,C001
E0083,C004
E0083,C002
E0084,C003
E0085,C005
E0085,C002
E0086,C005
E0086,C001
E0088,C005
E0088,C002
E0089,C005
E0090,C005
E0090,C001
E0093,C005
E0093,C004
E0094,C005
E0094,C002
E0095,C004
E0096,C003
E0096,C002
E0097,C002
E0100,C004
E0100,C002
E0101,C004
E0101,C003
E0102,C003
E0102,C005
E0103,C003
E0103,C002
E0104,C004
E0104,C002
E0105,C002
E0105,C003
E0107,C004
E0108,C002
E0108,C003
E0109,C005
E0111,C002
E0112,C003
E0112,C005
E0115,C001
E0116,C003
E0116,C004
E0117,C005
E0117,C001
E0120,C005
E0121,C005
E0121,C004
E0123,C004
E0125,C005
E0125,C004
E0128,C003
E0129,C004
E0130,C002
E0131,C004
E0131,C005
E0132,C003
E0133,C005
E0133,C003
E0134,C004
E0134,C002
E0135,C002
E0135,C005
E0136,C004
E0137,C001
E0137,C005
E0138,C005
E0138,C002
E0139,C005
E0142,C002
E0142,C004
E0143,C004
E0144,C004
E0144,C005
E0145,C002
E0145,C001
E0148,C002
E0149,C002
E0150,C002
E0151,C001
E0151,C005
E0152,C005
E0152,C004
E0153,C004
E0153,C002
E0154,C002
E0154,C005
E0155,C004
E0156,C003
E0156,C001
E0157,C002
E0157,C001
E0159,C002
E0159,C004
E0160,C005
E0161,C002
E0161,C005
E0162,C001
E0163,C004
E0164,C004
E0164,C002
E0165,C004
E0165,C002
E0166,C004
E0167,C003
E0167,C002
E0168,C004
E0171,C004
E0171,C005
E0173,C004
E0173,C005
E0174,C001
E0175,C005
E0175,C002
E0176,C005
E0179,C001
E0180,C005
E0180,C002
E0181,C002
E0183,C004
E0183,C003
E0185,C003
E0185,C002
E0186,C001
E0186,C005
E0188,C005
E0188,C001
E0192,C001
E0193,C004
E0193,C005
E0194,C003
E0194,C004
E0195,C001
E0195,C003
E0196,C001
E0197,C002
E0197,C003
E0199,C003
E0200,C001
E0201,C005
E0202,C004
E0202,C003
E0204,C001
E0207,C002
E0207,C003
E0208,C001
E0210,C004
E0212,C003
E0213,C002
E0213,C005
E0214,C003
E0214,C005
E0218,C002
E0219,C001
E0219,C004
E0220,C002
E0221,C003
E0222,C001
E0223,C002
E0223,C004
E0225,C004
E0225,C002
E0226,C003
E0227,C005
E0228,C002
E0228,C004
E0231,C001
E0231,C005
E0232,C002
E0233,C001
E0233,C002
E0234,C003
E0234,C001
E0238,C001
E0238,C005
E0239,C002
E0240,C005
E0240,C003
E0242,C001
E0244,C004
E0245,C002
E0246,C002
E0248,C002
E0248,C003
E0250,C003
E0250,C004
E0252,C001
E0252,C005
E0253,C001
E0253,C003
E0254,C001
E0255,C004
E0255,C002
E0256,C001
E0256,C005
E0257,C004
E0258,C003
E0260,C001
E0261,C002
E0262,C003
E0263,C001
E0264,C004
E0264,C003
E0265,C003
E0266,C005
E0267,C005
E0267,C001
E0268,C002
E0268,C005
E0270,C002
E0270,C005
E0271,C002
E0272,C004
E0273,C001
E0273,C005
E0274,C001
E0274,C002
E0276,C003
E0276,C002
E0278,C003
E0280,C002
E0280,C001
E0281,C004
E0282,C005
E0283,C004
E0283,C003
E0284,C002
E0286,C004
E0286,C003
E0287,C003
E0287,C002
E0288,C003
E0288,C004
E0291,C005
E0291,C001
E0292,C005
E0292,C002
E0293,C001
E0296,C004
E0297,C002
E0297,C005
E0298,C005
E0299,C003
E0299,C004
E0301,C001
E0301,C004
E0302,C002
E0303,C002
E0305,C002
E0305,C004
E0307,C003
E0307,C001
E0310,C002
E0312,C003
E0313,C003
E0313,C002
E0315,C004
E0316,C004
E0317,C005
E0318,C003
E0318,C005
E0319,C002
E0319,C004
E0324,C004
E0324,C005
E0326,C004
E0326,C003
E0327,C003
E0327,C005
E0328,C003
E0329,C004
E0333,C002
E0334,C004
E0335,C001
E0335,C002
E0336,C004
E0337,C005
E0339,C003
E0339,C004
E0340,C003
E0340,C005
E0341,C005
E0341,C004
E0342,C004
E0342,C002
E0344,C001
E0344,C005
E0345,C003
E0345,C001
E0346,C002
E0346,C005
E0347,C004
E0347,C003
E0348,C004
E0349,C003
E0349,C002
E0350,C005
E0351,C005
E0351,C004
E0352,C005
E0353,C001
E0353,C002
E0354,C004
E0354,C003
E0356,C003
E0357,C002
E0358,C004
E0359,C001
E0359,C004
E0363,C004
E0364,C005
E0367,C005
E0367,C003
E0369,C002
E0369,C005
E0370,C004
E0370,C003
E0371,C005
E0371,C004
E0372,C002
E0374,C002
E0374,C001
E0375,C002
E0375,C005
E0376,C003
E0376,C001
E0378,C005
E0378,C003
E0379,C005
E0379,C003
E0380,C003
E0381,C005
E0381,C003
E0383,C002
E0383,C003
E0384,C005
E0384,C001
E0385,C001
E0385,C003
E0386,C004
E0387,C002
E0388,C005
E0389,C001
E0389,C004
E0391,C001
E0391,C003
E0392,C002
E0393,C001
E0394,C005
E0395,C003
E0395,C005
E0396,C001
E0398,C005
E0398,C004
E0400,C004
E0400,C002
E0402,C003
E0402,C004
E0404,C002
E0404,C004
E0405,C003
E0405,C004
E0407,C005
E0407,C003
E0408,C005
E0408,C003
E0410,C002
E0410,C004
E0411,C004
E0411,C002
E0412,C005
E0414,C002
E0414,C005
E0415,C001
E0415,C004
E0416,C002
E0416,C001
E0418,C004
E0419,C002
E0420,C001
E0420,C005
E0421,C004
E0422,C002
E0422,C005
E0423,C004
E0423,C002
E0424,C001
E0425,C005
E0425,C002
E0429,C005
E0429,C004
E0430,C002
E0430,C005
E0431,C003
E0432,C002
E0432,C003
E0433,C003
E0434,C005
E0435,C002
E0436,C002
E0437,C005
E0437,C001
E0438,C005
E0440,C004
E0442,C002
E0443,C005
E0443,C002
E0444,C002
E0445,C002
E0445,C003
E0446,C005
E0448,C001
E0448,C003
E0449,C003
E0449,C004
E0450,C003
E0451,C002
E0451,C005
E0452,C004
E0453,C004
E0454,C001
E0456,C003
E0457,C004
E0458,C003
E0460,C004
E0460,C001
E0461,C005
E0462,C002
E0463,C003
E0464,C003
E0464,C001
E0467,C001
E0469,C001
E0470,C003
E0470,C001
E0473,C001
E0474,C005
E0475,C004
E0475,C001
E0477,C001
E0478,C001
E0479,C004
E0479,C005
E0480,C004
E0481,C001
E0482,C005
E0483,C003
E0484,C001
E0485,C005
E0486,C003
E0487,C005
E0487,C001
E0488,C003
E0488,C002
E0489,C003
E0492,C003
E0493,C003
E0496,C005
E0497,C001
E0497,C005
E0498,C001
E0500,C002
E0501,C002
E0502,C002
E0505,C002
E0506,C003
E0506,C001
E0507,C002
E0508,C001
E0509,C002
E0510,C004
E0511,C002
E0513,C002
E0515,C003
E0516,C002
E0516,C001
E0517,C004
E0518,C003
E0518,C004
E0520,C001
E0520,C004
E0521,C004
E0521,C002
E0527,C001
E0528,C001
E0528,C004
E0530,C004
E0530,C005
E0532,C002
E0532,C005
E0535,C004
E0536,C003
E0537,C004
E0538,C005
E0538,C001
E0539,C003
E0539,C005
E0540,C002
E0541,C005
E0541,C003
E0542,C001
E0542,C003
E0543,C003
E0544,C005
E0545,C005
E0547,C001
E0548,C001
E0551,C004
E0551,C003
E0552,C005
E0552,C001
E0553,C004
E0553,C001
E0556,C003
E0557,C004
E0559,C004
E0559,C005
E0560,C004
E0560,C003
E0561,C005
E0561,C003
E0562,C005
E0563,C001
E0563,C005
E0565,C001
E0566,C005
E0566,C002
E0567,C005
E0567,C003
E0570,C003
E0571,C004
E0571,C001
E0572,C004
E0572,C001
E0573,C001
E0573,C003
E0576,C003
E0577,C002
E0577,C001
E0578,C001
E0579,C004
E0579,C002
E0580,C005
E0580,C003
E0582,C002
E0583,C003
E0584,C003
E0584,C002
E0585,C004
E0586,C002
E0587,C004
E0588,C004
E0589,C002
E0590,C002
E0590,C003
E0593,C004
E0594,C005
E0594,C004
E0595,C005
E0595,C002
E0597,C002
E0598,C004
E0598,C003
E0599,C001
E0599,C003
E0601,C002
E0601,C004
E0603,C002
E0603,C003
E0604,C001
E0604,C002
E0605,C001
E0605,C002
E0608,C005
