emp_id,domain_id
E0001,D001
E0002,D003
E0003,D005
E0004,D002
E0005,D003
E0006,D002
E0007,D004
E0008,D004
E0009,D005
E0010,D007
E0011,D005
E0012,D001
E0013,D005
E0014,D004
E0015,D007
E0016,D007
E0017,D005
E0018,D002
E0019,D007
E0020,D007
E0021,D008
E0022,D001
E0023,D003
E0024,D005
E0025,D001
E0026,D003
E0027,D004
E0028,D006
E0029,D007
E0030,D008
E0031,D002
E0032,D006
E0033,D001
E0034,D007
E0035,D002
E0036,D001
E0037,D001
E0038,D004
E0039,D002
E0040,D006
E0041,D008
E0042,D003
E0043,D001
E0044,D008
E0045,D004
E0046,D007
E0047,D005
E0048,D006
E0049,D003
E0050,D006
E0051,D005
E0052,D005
E0053,D003
E0054,D005
E0055,D005
E0056,D004
E0057,D002
E0058,D008
E0059,D005
E0060,D003
E0061,D003
E0062,D001
E0063,D004
E0064,D002
E0065,D003
E0066,D008
E0067,D006
E0068,D007
E0069,D008
E0070,D007
E0071,D006
E0072,D006
E0073,D007
E0074,D005
E0075,D005
E0076,D001
E0077,D007
E0078,D002
E0079,D002
E0080,D003
E0081,D008
E0082,D002
E0083,D001
E0084,D005
E0085,D006
E0086,D007
E0087,D002
E0088,D008
E0089,D008
E0090,D005
E0091,D007
E0092,D005
E0093,D002
E0094,D003
E0095,D001
E0096,D001
E0097,D001
E0098,D006
E0099,D007
E0100,D008
E0101,D003
E0102,D007
E0103,D002
E0104,D002
E0105,D004
E0106,D002
E0107,D006
E0108,D003
E0109,D002
E0110,D001
E0111,D007
E0112,D007
E0113,D005
E0114,D008
E0115,D001
E0116,D006
E0117,D003
E0118,D001
E0119,D007
E0120,D005
E0121,D003
E0122,D007
E0123,D007
E0124,D005
E0125,D007
E0126,D004
E0127,D004
E0128,D005
E0129,D003
E0130,D008
E0131,D006
E0132,D005
E0133,D002
E0134,D004
E0135,D006
E0136,D001
E0137,D008
E0138,D006
E0139,D007
E0140,D004
E0141,D001
E0142,D005
E0143,D006
E0144,D003
E0145,D005
E0146,D006
E0147,D006
E0148,D006
E0149,D007
E0150,D003
E0151,D007
E0152,D008
E0153,D002
E0154,D005
E0155,D006
E0156,D003
E0157,D006
E0158,D006
E0159,D006
E0160,D007
E0161,D007
E0162,D006
E0163,D006
E0164,D006
E0165,D008
E0166,D002
E0167,D001
E0168,D008
E0169,D003
E0170,D002
E0171,D004
E0172,D005
E0173,D002
E0174,D003
E0175,D003
E0176,D008
E0177,D005
E0178,D008
E0179,D004
E0180,D006
E0181,D003
E0182,D007
E0183,D002
E0184,D001
E0185,D005
E0186,D001
E0187,D004
E0188,D003
E0189,D007
E0190,D005
E0191,D008
E0192,D001
E0193,D007
E0194,D002
E0195,D003
E0196,D001
E0197,D003
E0198,D001
E0199,D005
E0200,D008
E0201,D008
E0202,D002
E0203,D004
E0204,D001
E0205,D003
E0206,D002
E0207,D007
E0208,D003
E0209,D008
E0210,D003
E0211,D002
E0212,D006
E0213,D002
E0214,D001
E0215,D002
E0216,D001
E0217,D003
E0218,D003
E0219,D003
E0220,D004
E0221,D007
E0222,D006
E0223,D003
E0224,D007
E0225,D002
E0226,D002
E0227,D001
E0228,D005
E0229,D003
E0230,D007
E0231,D002
E0232,D007
E0233,D003
E0234,D003
E0235,D001
E0236,D006
E0237,D005
E0238,D008
E0239,D008
E0240,D005
E0241,D001
E0242,D004
E0243,D005
E0244,D006
E0245,D002
E0246,D002
E0247,D003
E0248,D001
E0249,D007
E0250,D003
E0251,D004
E0252,D001
E0253,D007
E0254,D002
E0255,D008
E0256,D005
E0257,D002
E0258,D003
E0259,D002
E0260,D002
E0261,D008
E0262,D004
E0263,D008
E0264,D006
E0265,D005
E0266,D004
E0267,D008
E0268,D002
E0269,D007
E0270,D006
E0271,D001
E0272,D002
E0273,D005
E0274,D003
E0275,D001
E0276,D003
E0277,D008
E0278,D005
E0279,D003
E0280,D008
E0281,D006
E0282,D002
E0283,D003
E0284,D006
E0285,D001
E0286,D006
E0287,D006
E0288,D008
E0289,D005
E0290,D005
E0291,D007
E0292,D008
E0293,D001
E0294,D005
E0295,D004
E0296,D008
E0297,D001
E0298,D008
E0299,D002
E0300,D003
E0301,D007
E0302,D005
E0303,D006
E0304,D007
E0305,D003
E0306,D003
E0307,D003
E0308,D001
E0309,D002
E0310,D007
E0311,D006
E0312,D001
E0313,D004
E0314,D002
E0315,D003
E0316,D003
E0317,D005
E0318,D007
E0319,D001
E0320,D004
E0321,D006
E0322,D007
E0323,D003
E0324,D003
E0325,D002
E0326,D004
E0327,D008
E0328,D008
E0329,D001
E0330,D003
E0331,D005
E0332,D002
E0333,D006
E0334,D002
E0335,D008
E0336,D005
E0337,D002
E0338,D006
E0339,D004
E0340,D008
E0341,D003
E0342,D005
E0343,D002
E0344,D004
E0345,D002
E0346,D007
E0347,D006
E0348,D001
E0349,D002
E0350,D004
E0351,D002
E0352,D001
E0353,D007
E0354,D002
E0355,D004
E0356,D001
E0357,D002
E0358,D008
E0359,D001
E0360,D001
E0361,D004
E0362,D006
E0363,D003
E0364,D003
E0365,D003
E0366,D006
E0367,D004
E0368,D007
E0369,D002
E0370,D007
E0371,D001
E0372,D007
E0373,D003
E0374,D002
E0375,D003
E0376,D008
E0377,D005
E0378,D006
E0379,D001
E0380,D007
E0381,D003
E0382,D001
E0383,D005
E0384,D003
E0385,D006
E0386,D003
E0387,D006
E0388,D001
E0389,D007
E0390,D005
E0391,D003
E0392,D005
E0393,D002
E0394,D003
E0395,D008
E0396,D006
E0397,D007
E0398,D006
E0399,D004
E0400,D004
E0401,D006
E0402,D007
E0403,D003
E0404,D007
E0405,D006
E0406,D005
E0407,D001
E0408,D005
E0409,D002
E0410,D003
E0411,D004
E0412,D004
E0413,D006
E0414,D006
E0415,D006
E0416,D002
E0417,D008
E0418,D006
E0419,D002
E0420,D007
E0421,D002
E0422,D001
E0423,D003
E0424,D001
E0425,D002
E0426,D005
E0427,D004
E0428,D002
E0429,D003
E0430,D003
E0431,D007
E0432,D001
E0433,D006
E0434,D002
E0435,D002
E0436,D004
E0437,D005
E0438,D008
E0439,D007
E0440,D004
E0441,D001
E0442,D006
E0443,D002
E0444,D002
E0445,D006
E0446,D005
E0447,D007
E0448,D007
E0449,D006
E0450,D001
E0451,D004
E0452,D003
E0453,D005
E0454,D007
E0455,D008
E0456,D007
E0457,D003
E0458,D007
E0459,D005
E0460,D005
E0461,D008
E0462,D001
E0463,D002
E0464,D006
E0465,D004
E0466,D003
E0467,D002
E0468,D001
E0469,D005
E0470,D002
E0471,D001
E0472,D008
E0473,D003
E0474,D005
E0475,D007
E0476,D007
E0477,D002
E0478,D003
E0479,D005
E0480,D001
E0481,D008
E0482,D006
E0483,D006
E0484,D006
E0485,D007
E0486,D007
E0487,D006
E0488,D007
E0489,D007
E0490,D007
E0491,D004
E0492,D003
E0493,D002
E0494,D002
E0495,D004
E0496,D007
E0497,D004
E0498,D004
E0499,D003
E0500,D005
E0501,D006
E0502,D005
E0503,D007
E0504,D004
E0505,D006
E0506,D002
E0507,D001
E0508,D003
E0509,D008
E0510,D002
E0511,D003
E0512,D004
E0513,D001
E0514,D004
E0515,D003
E0516,D005
E0517,D007
E0518,D004
E0519,D003
E0520,D007
E0521,D003
E0522,D003
E0523,D007
E0524,D001
E0525,D007
E0526,D003
E0527,D002
E0528,D006
E0529,D005
E0530,D006
E0531,D008
E0532,D001
E0533,D005
E0534,D002
E0535,D008
E0536,D005
E0537,D007
E0538,D002
E0539,D006
E0540,D005
E0541,D006
E0542,D005
E0543,D004
E0544,D004
E0545,D007
E0546,D008
E0547,D007
E0548,D003
E0549,D006
E0550,D008
E0551,D002
E0552,D004
E0553,D006
E0554,D006
E0555,D005
E0556,D005
E0557,D007
E0558,D003
E0559,D001
E0560,D004
E0561,D007
E0562,D006
E0563,D008
E0564,D004
E0565,D005
E0566,D002
E0567,D008
E0568,D004
E0569,D004
E0570,D004
E0571,D002
E0572,D002
E0573,D001
E0574,D005
E0575,D005
E0576,D001
E0577,D006
E0578,D008
E0579,D007
E0580,D001
E0581,D003
E0582,D006
E0583,D006
E0584,D008
E0585,D008
E0586,D007
E0587,D006
E0588,D001
E0589,D002
E0590,D001
E0591,D004
E0592,D008
E0593,D007
E0594,D007
E0595,D001
E0596,D003
E0597,D003
E0598,D004
E0599,D008
E0600,D002
E0601,D007
E0602,D008
E0603,D008
E0604,D005
E0605,D008
E0606,D007
E0607,D006
E0608,D002
E0609,D004
E0610,D001
E0611,D006
E0612,D001
E0613,D001
E0614,D004
E0615,D008
E0616,D008
E0617,D006
E0618,D003
E0619,D008
E0620,D002
E0621,D001
E0622,D003
E0623,D005
E0624,D002
E0625,D004
E0626,D005
E0627,D004
E0628,D001
E0629,D001
E0630,D008
E0631,D002
E0632,D001
E0633,D002
E0634,D006
E0635,D005
E0636,D001
E0637,D008
E0638,D005
E0639,D008
E0640,D004
E0641,D008
E0642,D001
E0643,D001
E0644,D001
E0645,D003
E0646,D008
E0647,D008
E0648,D002
E0649,D003
E0650,D001
E0651,D005
E0652,D006
E0653,D005
E0654,D004
E0655,D002
E0656,D006
E0657,D003
E0658,D007
E0659,D002
E0660,D002
E0661,D008
E0662,D006
E0663,D008
E0664,D001
E0665,D005
E0666,D006
E0667,D008
E0668,D001
E0669,D003
E0670,D004
E0671,D001
E0672,D002
E0673,D001
E0674,D002
E0675,D007
E0676,D002
E0677,D005
E0678,D003
E0679,D003
E0680,D001
E0681,D004
E0682,D002
E0683,D001
E0684,D008
E0685,D008
E0686,D002
E0687,D001
E0688,D003
E0689,D001
E0690,D007
E0691,D007
E0692,D006
E0693,D002
E0694,D006
E0695,D002
E0696,D003
E0697,D001
E0698,D006
E0699,D005
E0700,D004
E0701,D008
E0702,D006
E0703,D005
E0704,D005
E0705,D001
E0706,D002
E0707,D006
E0708,D003
E0709,D002
E0710,D007
E0711,D004
E0712,D006
E0713,D006
E0714,D001
E0715,D005
E0716,D001
E0717,D007
E0718,D003
E0719,D008
E0720,D006
E0721,D006
E0722,D002
E0723,D004
E0724,D006
E0725,D006
E0726,D007
E0727,D005
E0728,D007
E0729,D007
E0730,D002
E0731,D008
E0732,D003
E0733,D003
E0734,D004
E0735,D005
E0736,D004
E0737,D002
E0738,D006
E0739,D006
E0740,D002
E0741,D001
E0742,D005
E0743,D007
E0744,D002
E0745,D001
E0746,D008
E0747,D004
E0748,D007
E0749,D004
E0750,D003
E0751,D006
E0752,D006
E0753,D008
E0754,D005
E0755,D001
E0756,D003
E0757,D001
E0758,D002
E0759,D006
E0760,D006
E0761,D008
E0762,D002
E0763,D003
E0764,D008
E0765,D003
E0766,D004
E0767,D003
E0768,D006
E0769,D005
E0770,D008
E0771,D002
E0772,D005
E0773,D002
E0774,D008
E0775,D005
E0776,D002
E0777,D004
E0778,D002
E0779,D001
E0780,D005
E0781,D003
E0782,D004
E0783,D006
E0784,D001
E0785,D004
E0786,D006
E0787,D004
E0788,D008
E0789,D001
E0790,D003
E0791,D001
E0792,D003
E0793,D005
E0794,D002
E0795,D002
E0796,D002
E0797,D001
E0798,D001
E0799,D003
E0800,D002
E0801,D004
E0802,D004
E0803,D005
