emp_id,project_id
E0001,P030
E0001,P021
E0002,P005
E0002,P016
E0004,P033
E0004,P032
E0005,P036
E0005,P001
E0005,P008
E0006,P014
E0006,P044
E0007,P002
E0007,P012
E0007,P048
E0008,P015
E0010,P037
E0010,P013
E0010,P017
E0011,P040
E0011,P021
E0012,P040
E0013,P048
E0013,P011
E0013,P043
E0014,P002
E0015,P010
E0016,P043
E0016,P034
E0016,P036
E0017,P018
E0018,P025
E0019,P050
E0019,P038
E0019,P045
E0020,P028
E0020,P032
E0022,P006
E0022,P031
E0024,P007
E0024,P038
E0026,P024
E0026,P041
E0026,P030
E0028,P032
E0030,P045
E0030,P016
E0030,P020
E0031,P015
E0031,P008
E0032,P019
E0033,P041
E0036,P020
E0036,P038
E0036,P028
E0039,P039
E0039,P048
E0042,P021
E0042,P043
E0043,P021
E0043,P008
E0044,P018
E0046,P016
E0046,P030
E0046,P036
E0047,P033
E0047,P018
E0048,P036
E0048,P049
E0049,P032
E0050,P042
E0050,P010
E0050,P005
E0052,P002
E0052,P003
E0053,P040
E0053,P044
E0053,P016
E0054,P005
E0055,P025
E0056,P050
E0056,P015
E0058,P031
E0058,P019
E0059,P035
E0059,P008
E0060,P045
E0060,P020
E0060,P042
E0061,P024
E0061,P043
E0061,P048
E0062,P016
E0062,P024
E0062,P007
E0063,P009
E0064,P035
E0065,P017
E0068,P007
E0068,P045
E0068,P008
E0069,P043
E0069,P017
E0072,P018
E0074,P049
E0075,P008
E0075,P019
E0075,P044
E0076,P019
E0076,P021
E0078,P011
E0078,P040
E0079,P022
E0080,P017
E0081,P029
E0082,P003
E0082,P004
E0082,P024
E0083,P021
E0084,P034
E0084,P040
E0084,P011
E0085,P017
E0085,P047
E0086,P043
E0087,P009
E0088,P010
E0088,P011
E0088,P012
E0089,P031
E0089,P013
E0090,P024
E0090,P036
E0090,P007
E0091,P023
E0091,P002
E0091,P027
E0092,P010
E0092,P009
E0093,P014
E0093,P010
E0098,P023
E0098,P050
E0099,P034
E0099,P018
E0100,P029
E0100,P039
E0102,P050
E0103,P026
E0103,P021
E0104,P014
E0104,P040
E0104,P019
E0105,P011
E0105,P046
E0106,P030
E0106,P036
E0109,P041
E0111,P042
E0111,P020
E0112,P021
E0113,P016
E0113,P010
E0113,P007
E0114,P049
E0115,P016
E0115,P014
E0115,P038
E0116,P017
E0117,P049
E0117,P036
E0117,P018
E0119,P040
E0119,P021
E0120,P044
E0120,P008
E0121,P034
E0122,P010
E0122,P027
E0122,P045
E0123,P036
E0124,P036
E0124,P020
E0125,P008
E0125,P037
E0126,P048
E0126,P031
E0127,P016
E0128,P031
E0128,P042
E0128,P013
E0129,P003
E0130,P042
E0130,P035
E0130,P034
E0131,P012
E0132,P029
E0133,P011
E0133,P026
E0134,P027
E0134,P045
E0135,P037
E0136,P033
E0137,P023
E0137,P045
E0137,P005
E0139,P044
E0139,P047
E0139,P035
E0141,P029
E0141,P015
E0141,P035
E0142,P043
E0146,P031
E0147,P026
E0148,P007
E0148,P047
E0148,P031
E0149,P019
E0149,P010
E0149,P013
E0150,P047
E0152,P024
E0152,P004
E0152,P040
E0153,P002
E0153,P033
E0154,P026
E0154,P030
E0156,P003
E0156,P005
E0157,P025
E0157,P049
E0158,P029
E0158,P032
E0159,P010
E0159,P025
E0160,P028
E0161,P050
E0161,P006
E0161,P047
E0162,P027
E0162,P020
E0163,P040
E0163,P025
E0164,P021
E0164,P019
E0164,P048
E0166,P046
E0167,P043
E0168,P029
E0169,P027
E0169,P006
E0170,P005
E0170,P020
E0171,P022
E0172,P001
E0172,P046
E0172,P014
E0173,P034
E0173,P041
E0173,P021
E0174,P008
E0174,P016
E0175,P032
E0176,P013
E0177,P003
E0177,P018
E0178,P035
E0178,P049
E0179,P023
E0179,P006
E0180,P035
E0180,P018
E0182,P005
E0182,P041
E0182,P050
E0184,P022
E0184,P044
E0184,P049
E0185,P013
E0185,P045
E0185,P009
E0186,P028
E0187,P031
E0189,P049
E0190,P050
E0190,P045
E0192,P049
E0193,P041
E0193,P046
E0194,P010
E0195,P008
E0195,P030
E0195,P040
E0196,P009
E0196,P048
E0197,P004
E0197,P032
E0199,P015
E0199,P021
E0199,P016
E0201,P030
E0202,P001
E0202,P049
E0204,P041
E0205,P015
E0205,P005
E0206,P020
E0206,P030
E0206,P017
E0207,P006
E0208,P007
E0211,P027
E0211,P036
E0211,P031
E0212,P031
E0212,P035
E0213,P034
E0213,P023
E0213,P050
E0214,P023
E0214,P012
E0214,P016
E0215,P032
E0216,P021
E0217,P020
E0217,P021
E0218,P047
E0218,P045
E0219,P041
E0221,P011
E0221,P027
E0221,P032
E0223,P046
E0223,P002
E0223,P028
E0224,P007
E0225,P043
E0225,P041
E0226,P026
E0226,P031
E0227,P030
E0227,P017
E0227,P015
E0228,P035
E0228,P044
E0228,P031
E0229,P014
E0231,P010
E0231,P037
E0231,P038
E0232,P018
E0233,P018
E0233,P032
E0234,P048
E0234,P032
E0234,P049
E0235,P004
E0237,P048
E0237,P045
E0238,P042
E0238,P027
E0239,P025
E0239,P023
E0239,P030
E0240,P036
E0240,P042
E0241,P034
E0242,P027
E0242,P026
E0243,P007
E0243,P031
E0244,P048
E0246,P037
E0246,P030
E0246,P010
E0247,P049
E0249,P020
E0249,P009
E0250,P047
E0250,P034
E0250,P039
E0251,P047
E0253,P045
E0253,P010
E0253,P014
E0255,P003
E0256,P006
E0257,P024
E0257,P044
E0258,P047
E0258,P006
E0260,P032
E0260,P008
E0260,P027
