emp_id,skill_id
E0001,S010
E0001,S005
E0001,S002
E0001,S014
E0002,S015
E0002,S005
E0002,S014
E0003,S004
E0003,S009
E0004,S009
E0004,S010
E0004,S017
E0004,S019
E0005,S005
E0005,S011
E0005,S007
E0006,S014
E0006,S001
E0006,S009
E0006,S020
E0006,S006
E0007,S010
E0007,S011
E0007,S006
E0008,S006
E0008,S010
E0008,S007
E0008,S020
E0008,S009
E0009,S020
E0009,S015
E0009,S002
E0009,S017
E0010,S020
E0010,S017
E0010,S008
E0010,S015
E0010,S003
E0011,S020
E0011,S008
E0011,S018
E0012,S012
E0012,S008
E0012,S002
E0013,S007
E0013,S016
E0013,S006
E0013,S012
E0014,S009
E0014,S010
E0014,S012
E0015,S002
E0015,S013
E0015,S016
E0016,S003
E0016,S007
E0016,S014
E0017,S005
E0017,S010
E0017,S016
E0017,S015
E0017,S013
E0018,S014
E0018,S016
E0019,S012
E0019,S008
E0020,S004
E0020,S016
E0020,S010
E0020,S013
E0020,S006
E0021,S014
E0021,S004
E0021,S019
E0021,S002
E0021,S006
E0022,S017
E0022,S016
E0022,S002
E0022,S005
E0022,S008
E0023,S006
E0023,S010
E0024,S005
E0024,S020
E0024,S012
E0024,S014
E0024,S004
E0025,S018
E0025,S006
E0025,S010
E0026,S019
E0026,S008
E0026,S013
E0026,S003
E0027,S007
E0027,S008
E0027,S005
E0027,S017
E0027,S010
E0028,S013
E0028,S017
E0029,S004
E0029,S019
E0029,S015
E0029,S012
E0030,S007
E0030,S019
E0030,S018
E0030,S009
E0030,S010
E0031,S020
E0031,S007
E0031,S005
E0031,S009
E0032,S005
E0032,S006
E0032,S015
E0032,S009
E0032,S003
E0033,S003
E0033,S016
E0033,S004
E0033,S009
E0034,S001
E0034,S005
E0034,S013
E0035,S014
E0035,S006
E0035,S009
E0036,S015
E0036,S002
E0036,S007
E0037,S018
E0037,S012
E0037,S006
E0037,S019
E0038,S009
E0038,S016
E0038,S007
E0039,S014
E0039,S018
E0039,S001
E0039,S011
E0040,S015
E0040,S004
E0040,S013
E0040,S007
E0041,S005
E0041,S019
E0042,S013
E0042,S018
E0042,S016
E0042,S020
E0042,S008
E0043,S004
E0043,S001
E0043,S007
E0043,S018
E0043,S017
E0044,S016
E0044,S013
E0044,S007
E0044,S001
E0045,S012
E0045,S009
E0045,S004
E0046,S009
E0046,S015
E0046,S005
E0046,S008
E0046,S013
E0047,S018
E0047,S005
E0047,S008
E0048,S014
E0048,S007
E0048,S004
E0048,S013
E0048,S020
E0049,S001
E0049,S017
E0049,S013
E0049,S002
E0049,S015
E0050,S003
E0050,S015
E0050,S007
E0050,S019
E0050,S014
E0051,S004
E0051,S002
E0051,S017
E0051,S013
E0052,S007
E0052,S012
E0053,S006
E0053,S011
E0053,S016
E0053,S004
E0053,S018
E0054,S007
E0054,S009
E0055,S002
E0055,S013
E0055,S003
E0056,S016
E0056,S013
E0057,S009
E0057,S007
E0058,S015
E0058,S016
E0058,S005
E0058,S011
E0059,S004
E0059,S020
E0059,S018
E0059,S002
E0059,S019
E0060,S019
E0060,S004
E0060,S017
E0060,S010
E0060,S018
E0061,S004
E0061,S014
E0061,S002
E0062,S003
E0062,S020
E0062,S010
E0062,S007
E0063,S018
E0063,S012
E0063,S019
E0063,S001
E0063,S017
E0064,S005
E0064,S014
E0065,S019
E0065,S017
E0065,S001
E0066,S020
E0066,S015
E0066,S014
E0066,S007
E0066,S006
E0067,S013
E0067,S007
E0068,S002
E0068,S015
E0068,S009
E0068,S007
E0069,S002
