project_id,skill_id
P001,S001
P001,S009
P002,S008
P002,S005
P002,S004
P003,S019
P003,S014
P004,S001
P004,S003
P005,S008
P005,S017
P005,S001
P006,S018
P006,S014
P006,S008
P007,S019
P007,S009
P007,S001
P007,S006
P007,S014
P008,S009
P008,S005
P008,S007
P008,S011
P009,S003
P009,S013
P010,S012
P010,S020
P011,S002
P011,S015
P011,S018
P011,S004
P012,S003
P012,S018
P012,S010
P012,S012
P012,S007
P013,S002
P013,S008
P014,S003
P014,S008
P014,S004
P014,S013
P015,S015
P015,S012
P015,S006
P015,S019
P016,S007
P016,S009
P016,S003
P016,S006
P017,S006
P017,S015
P017,S013
P018,S018
P018,S008
P018,S011
P018,S002
P019,S002
P019,S011
P019,S013
P020,S003
P020,S007
P020,S011
P020,S019
P021,S005
P021,S009
P021,S020
P021,S008
P021,S019
P022,S012
P022,S008
P022,S005
P022,S017
P022,S016
P023,S005
P023,S006
P024,S013
P024,S020
P025,S018
P025,S001
P025,S004
P025,S009
P026,S014
P026,S006
P026,S015
P026,S001
P027,S017
P027,S004
P027,S010
P028,S006
P028,S018
P028,S017
P028,S001
P029,S004
P029,S012
P030,S008
P030,S019
P031,S003
P031,S018
P031,S005
P031,S019
P031,S016
P032,S007
P032,S018
P032,S020
P032,S010
P032,S013
P033,S004
P033,S008
P033,S019
P033,S003
P033,S011
P034,S019
P034,S008
P034,S001
P035,S008
P035,S003
P036,S017
P036,S008
P037,S007
P037,S018
P037,S005
P037,S016
P037,S008
P038,S004
P038,S020
P038,S014
P039,S015
P039,S002
P039,S004
P039,S019
P039,S013
P040,S007
P040,S020
P040,S018
P041,S006
P041,S009
P041,S015
P041,S008
P041,S003
P042,S002
P042,S018
P043,S006
P043,S014
P043,S016
P044,S002
P044,S006
P044,S013
P044,S001
P044,S018
P045,S014
P045,S018
P045,S016
P045,S005
P046,S002
P046,S019
P046,S018
P047,S002
P047,S020
P047,S016
P047,S017
P048,S006
P048,S003
P049,S013
P049,S004
P049,S008
P050,S014
P050,S019
